API,COUNTRY,CONSUMPTION,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
INTL.4415-2-AFG-QBTU.A,Afghanistan,Petroleum and other liquids (quad Btu),0.014624098,0.01666759,0.016250901,0.022917937,0.022980726,0.027084834,0.028329758,0.028675112,0.027374636,0.027698618,0.028118186,0.026408512,0.014683914,0.014644024,0.013614067,0.013194499,0.012185452,0.011497729,0.011093382,0.011093398,0.008129111,0.008037032,0.006836039,0.009580643,0.008965576,0.013311272,0.017167204,0.018241911,0.041541548,0.072306945,0.085493838,0.110801523,0.098345426,0.069950161,0.05528505,0.069916271,0.051517535,0.047425619,0.060538076,0.048550172,0.046011906,0.047513034
INTL.4419-2-AFG-QBTU.A,Afghanistan,"Nuclear, renewables, and other (quad Btu)",0.00738587,0.007536615,0.007390981,0.007847934,0.00790308,0.00804419,0.007447998,0.007876764,0.007681056,0.007824,0.007863912,0.007554288,0.005338738,0.00518643,0.005254308,0.004657984,0.00410806,0.003629786,0.0034003,0.003409,0.003523912,0.005487034,0.005987215,0.00671995,0.00600024,0.00625767,0.007792387,0.00947114,0.007906791,0.011515596,0.012693347,0.013447287,0.01750106,0.020778165,0.02216852,0.022529794,0.024570116,0.0257575,0.025797592,0.024685194,0.023570174,0.024430387
none,Afghanistan,Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-AFG-QBTU.A,Afghanistan,Renewables and other (quad Btu),0.00738587,0.007536615,0.007390981,0.007847934,0.00790308,0.00804419,0.007447998,0.007876764,0.007681056,0.007824,0.007863912,0.007554288,0.005338738,0.00518643,0.005254308,0.004657984,0.00410806,0.003629786,0.0034003,0.003409,0.003523912,0.005487034,0.005987215,0.00671995,0.00600024,0.00625767,0.007792387,0.00947114,0.007906791,0.011515596,0.012693347,0.013447287,0.01750106,0.020778165,0.02216852,0.022529794,0.024570116,0.0257575,0.025797592,0.024685194,0.023570174,0.024430387
INTL.44-2-ALB-QBTU.A,Albania,Consumption (quad Btu),0.162981822,0.162044493,0.162846117,0.169335851,0.170405722,0.170056255,0.166075378,0.166640528,0.168590873,0.16034058,0.114845327,0.096323689,0.084191238,0.073833455,0.070178221,0.077549684,0.085342627,0.077946674,0.083842515,0.075456234,0.098037356,0.092923343,0.100649484,0.113522384,0.121085084,0.119471541,0.112489454,0.096825094,0.105744864,0.115238062,0.123044023,0.107433486,0.105127933,0.131931118,0.116216393,0.116297302,0.135895705,0.125780475,0.14342046,0.113609057,0.10914868,0.137347715
INTL.4411-2-ALB-QBTU.A,Albania,Coal (quad Btu),0.024317315,0.025770486,0.029070075,0.031462709,0.033997866,0.036247979,0.035668553,0.037287487,0.037487993,0.037114724,0.032372911,0.018421888,0.005235005,0.00346567,0.002812874,0.002119845,0.001664476,0.001232248,0.000753957,0.000903445,0.00109781,0.001248291,0.000948827,0.000948767,0.000902932,0.000819092,0.001621984,0.002359201,0.002858482,0.003923002,0.003524944,0.003311342,0.002968888,0.00264252,0.003339684,0.002822255,0.002255383,0.00260389,0.003414521,0.00409317,0.004619879,0.007010067
INTL.4413-2-ALB-QBTU.A,Albania,Natural gas (quad Btu),0.01047,0.011517,0.01047,0.011517,0.011517,0.01047,0.014658,0.016752,0.026175,0.026175,0.009425153,0.00522,0.003760488,0.001105596,0.00110664,0.00110664,0.001106066,0.000737377,0.001106066,0.000737377,0.001106066,0.001106066,0.001106066,0.001106066,0.001106066,0.001106066,0.001106066,0.000364451,0.001064747,0.001064747,0.000350325,0.000350325,0.000595552,0.000665617,0.001121039,0.001226137,0.001576448,0.001751609,0.001503678,0.002730014,0.001953109,0.002065834
INTL.4415-2-ALB-QBTU.A,Albania,Petroleum and other liquids (quad Btu),0.099297277,0.094720496,0.092567758,0.094720496,0.092821368,0.090415019,0.082449887,0.072966858,0.068141514,0.058063178,0.043014162,0.03854419,0.043791663,0.035639668,0.027742255,0.031145343,0.024568785,0.025573471,0.031009561,0.01910171,0.045761196,0.048300987,0.055914566,0.056532534,0.063251986,0.06309585,0.058567703,0.057138346,0.05647564,0.054445616,0.052663621,0.0521623,0.046020699,0.054955503,0.056805568,0.053080053,0.05483,0.070199116,0.064531253,0.052484736,0.048199032,0.051509691
INTL.4419-2-ALB-QBTU.A,Albania,"Nuclear, renewables, and other (quad Btu)",0.02889723,0.03003651,0.030738285,0.031635646,0.032069488,0.032923257,0.033298938,0.039634183,0.036786366,0.038987678,0.0300331,0.034137612,0.031404082,0.033622521,0.038516452,0.043177856,0.0580033,0.050403578,0.050972932,0.054713702,0.050072284,0.042267999,0.042680025,0.054935017,0.0558241,0.054450533,0.051193701,0.036963096,0.045345994,0.055804696,0.066505133,0.05160952,0.055542793,0.073667478,0.054950102,0.059168857,0.077233874,0.05122586,0.073971008,0.054301137,0.054376661,0.076762123
none,Albania,Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-ALB-QBTU.A,Albania,Renewables and other (quad Btu),0.02889723,0.03003651,0.030738285,0.031635646,0.032069488,0.032923257,0.033298938,0.039634183,0.036786366,0.038987678,0.0300331,0.034137612,0.031404082,0.033622521,0.038516452,0.043177856,0.0580033,0.050403578,0.050972932,0.054713702,0.050072284,0.042267999,0.042680025,0.054935017,0.0558241,0.054450533,0.051193701,0.036963096,0.045345994,0.055804696,0.066505133,0.05160952,0.055542793,0.073667478,0.054950102,0.059168857,0.077233874,0.05122586,0.073971008,0.054301137,0.054376661,0.076762123
INTL.44-2-DZA-QBTU.A,Algeria,Consumption (quad Btu),0.780695167,0.663391323,0.952188116,1.070561843,1.130786713,1.046418247,1.066300962,1.138318654,1.213119365,1.17528245,1.217674713,1.354022185,1.301817553,1.19719019,1.233153274,1.289340856,1.263667894,1.20373288,1.250799348,1.246096425,1.27414091,1.275578842,1.307454563,1.323121379,1.295409899,1.490466209,1.559688935,1.549746236,1.677420114,1.784125382,1.777760402,1.937990274,2.098203173,2.037584643,2.299888436,2.35214754,2.33598238,2.365986905,2.522119152,2.624873096,2.480810774,2.581123314
INTL.4411-2-DZA-QBTU.A,Algeria,Coal (quad Btu),0.002547398,0.007655064,0.020475801,0.033213824,0.034235723,0.034242132,0.034610211,0.035079318,0.035599908,0.036081886,0.033572055,0.031062224,0.02879373,0.022609952,0.02304864,0.013759894,0.014334636,0.015455786,0.017403199,0.017394738,0.016194829,0.015033806,0.008672038,0.010163584,0.010488812,0.010358057,0.006857845,0.007011926,0.007171915,0.004567912,4.66E-05,5.50E-05,0.000433418,0.001259621,0.000835328,0.000576922,0.000575219,0.000924225,0.000410418,0.000405436,0.000658437,0.00094109
INTL.4413-2-DZA-QBTU.A,Algeria,Natural gas (quad Btu),0.5428,0.40828,0.65254,0.77408,0.8024,0.68912,0.71036,0.77408,0.84016,0.7788,0.80358,0.9145,0.8614,0.77300974,0.8146838,0.8755246,0.858884108,0.802368101,0.829830104,0.848138107,0.818288103,0.813512102,0.812318102,0.816696103,0.767344096,0.95380712,1.018880128,0.99225735,1.037937868,1.078480265,1.080880555,1.233148946,1.344312373,1.235699254,1.466614646,1.485966983,1.491480102,1.547998949,1.680477876,1.734907225,1.676235642,1.767236857
