,COUNTRY,EMISSIONS,Year,Value
94,Bolivia,Consumed natural gas (MMtonnes CO2),1980,0.69302618
95,Bolivia,Petroleum and other liquids (MMtonnes CO2),1980,3.44582
96,Bosnia and Herzegovina,CO2 emissions (MMtonnes CO2),1980,--
97,Bosnia and Herzegovina,Coal and coke (MMtonnes CO2),1980,--
98,Bosnia and Herzegovina,Consumed natural gas (MMtonnes CO2),1980,--
99,Bosnia and Herzegovina,Petroleum and other liquids (MMtonnes CO2),1980,--
100,Botswana,CO2 emissions (MMtonnes CO2),1980,1.232439976
101,Botswana,Coal and coke (MMtonnes CO2),1980,0.814609976
102,Botswana,Consumed natural gas (MMtonnes CO2),1980,0
103,Botswana,Petroleum and other liquids (MMtonnes CO2),1980,0.41783
104,Brazil,CO2 emissions (MMtonnes CO2),1980,187.7311008
105,Brazil,Coal and coke (MMtonnes CO2),1980,21.95047459
106,Brazil,Consumed natural gas (MMtonnes CO2),1980,3.00385624
107,Brazil,Petroleum and other liquids (MMtonnes CO2),1980,162.77677
108,British Virgin Islands,CO2 emissions (MMtonnes CO2),1980,0.02217
109,British Virgin Islands,Coal and coke (MMtonnes CO2),1980,0
110,British Virgin Islands,Consumed natural gas (MMtonnes CO2),1980,0
111,British Virgin Islands,Petroleum and other liquids (MMtonnes CO2),1980,0.02217
112,Brunei,CO2 emissions (MMtonnes CO2),1980,4.5132476
113,Brunei,Coal and coke (MMtonnes CO2),1980,0
114,Brunei,Consumed natural gas (MMtonnes CO2),1980,3.8646476
115,Brunei,Petroleum and other liquids (MMtonnes CO2),1980,0.6486
116,Bulgaria,CO2 emissions (MMtonnes CO2),1980,91.37861328
117,Bulgaria,Coal and coke (MMtonnes CO2),1980,37.90392448
118,Bulgaria,Consumed natural gas (MMtonnes CO2),1980,9.0153888
119,Bulgaria,Petroleum and other liquids (MMtonnes CO2),1980,44.4593
120,Burkina Faso,CO2 emissions (MMtonnes CO2),1980,0.41825
121,Burkina Faso,Coal and coke (MMtonnes CO2),1980,0
